DH_demand,LH_demand
0.420445517,0.420717474
0.411416169,0.411682285
0.43351234,0.433792749
0.424482992,0.424757561
0.411007141,0.411272993
0.370852274,0.371092152
0.406287954,0.406550753
0.410598114,0.410863702
0.419354778,0.419626029
0.445897452,0.446185873
0.459100619,0.459397579
0.485643293,0.485957422
0.512185968,0.512517265
0.569854162,0.570222762
0.649754871,0.650175152
0.702976563,0.70343127
0.649482187,0.649902291
0.59598781,0.596373313
0.511367914,0.511698682
0.484552555,0.484865978
0.457737195,0.458033274
0.444261344,0.444548706
0.430785494,0.431064139
0.44398866,0.444275845
0.470531334,0.470835688
0.457055483,0.457351121
0.483598158,0.483910964
0.47456881,0.474875776
0.456646456,0.456941829
0.416491589,0.416760988
0.451927269,0.452219589
0.456237429,0.456532538
0.46054759,0.460845486
0.491536767,0.491854708
0.504739934,0.505066415
0.535729111,0.536075637
0.562271786,0.56263548
0.61993998,0.620340976
0.708733695,0.709192125
0.766401889,0.766897621
0.70846101,0.708919264
0.650520131,0.650940907
0.561453732,0.561816897
0.534638372,0.534984193
0.50337651,0.503702109
0.489900659,0.490217542
0.476424808,0.476732975
0.489627975,0.489944681
0.516170649,0.516504524
0.502694798,0.503019957
0.533683976,0.534029179
0.520208125,0.520544612
0.502285771,0.502610665
0.457684401,0.457980445
0.502013087,0.502337804
0.506323247,0.506650753
0.510633408,0.510963701
0.541622585,0.541972923
0.563718757,0.564083388
0.594707935,0.59509261
0.625697112,0.626101832
0.687811809,0.688256707
0.781052027,0.781557235
0.838720221,0.839262731
0.780779342,0.781284374
0.71839196,0.718856638
0.624879058,0.625283249
0.593617196,0.594001166
0.562355334,0.562719082
0.539986477,0.540335757
0.530957129,0.531300568
0.539713792,0.540062896
0.57070297,0.571072118
0.561673622,0.56203693
0.592662799,0.593046152
0.579186949,0.579561584
0.561264595,0.561627638
0.507770219,0.50809866
0.605456939,0.605848567
0.614213602,0.614610894
0.622970265,0.623373221
0.658405946,0.658831823
0.680502117,0.680942287
0.715937798,0.716400888
0.751373478,0.751859489
0.822381181,0.822913122
0.928960907,0.929561787
0.99996861,1.00061542
0.928688222,0.929288926
0.857407834,0.857962432
0.750555424,0.751040906
0.714847059,0.715309444
0.679138694,0.679577982
0.656769837,0.657194656
0.638847484,0.63926071
0.656497153,0.656921795
0.691932833,0.692380396
