Active_node1,Reactive_node1,Active_node2,Reactive_node2,Active_node3,Reactive_node3,Active_node4,Reactive_node4,Active_node5,Reactive_node5,Active_node6,Reactive_node6,Active_node7,Reactive_node7,Active_node8,Reactive_node8
0.610363927,0.25635285,0.610363927,0.25635285,0.610363927,0.25635285,0.610363927,0.25635285,0.610363927,0.25635285,0.610363927,0.25635285,0.610363927,0.25635285,0.610363927,0.25635285
0.617256144,0.25924758,0.617256144,0.25924758,0.617256144,0.25924758,0.617256144,0.25924758,0.617256144,0.25924758,0.617256144,0.25924758,0.617256144,0.25924758,0.617256144,0.25924758
0.619493876,0.260187428,0.619493876,0.260187428,0.619493876,0.260187428,0.619493876,0.260187428,0.619493876,0.260187428,0.619493876,0.260187428,0.619493876,0.260187428,0.619493876,0.260187428
0.615018411,0.258307733,0.615018411,0.258307733,0.615018411,0.258307733,0.615018411,0.258307733,0.615018411,0.258307733,0.615018411,0.258307733,0.615018411,0.258307733,0.615018411,0.258307733
0.614212827,0.257969387,0.614212827,0.257969387,0.614212827,0.257969387,0.614212827,0.257969387,0.614212827,0.257969387,0.614212827,0.257969387,0.614212827,0.257969387,0.614212827,0.257969387
0.625043453,0.26251825,0.625043453,0.26251825,0.625043453,0.26251825,0.625043453,0.26251825,0.625043453,0.26251825,0.625043453,0.26251825,0.625043453,0.26251825,0.625043453,0.26251825
0.64339286,0.270225001,0.64339286,0.270225001,0.64339286,0.270225001,0.64339286,0.270225001,0.64339286,0.270225001,0.64339286,0.270225001,0.64339286,0.270225001,0.64339286,0.270225001
0.648673908,0.272443042,0.648673908,0.272443042,0.648673908,0.272443042,0.648673908,0.272443042,0.648673908,0.272443042,0.648673908,0.272443042,0.648673908,0.272443042,0.648673908,0.272443042
0.62280572,0.261578403,0.62280572,0.261578403,0.62280572,0.261578403,0.62280572,0.261578403,0.62280572,0.261578403,0.62280572,0.261578403,0.62280572,0.261578403,0.62280572,0.261578403
0.603919258,0.253646088,0.603919258,0.253646088,0.603919258,0.253646088,0.603919258,0.253646088,0.603919258,0.253646088,0.603919258,0.253646088,0.603919258,0.253646088,0.603919258,0.253646088
0.579035672,0.243194982,0.579035672,0.243194982,0.579035672,0.243194982,0.579035672,0.243194982,0.579035672,0.243194982,0.579035672,0.243194982,0.579035672,0.243194982,0.579035672,0.243194982
0.550750733,0.231315308,0.550750733,0.231315308,0.550750733,0.231315308,0.550750733,0.231315308,0.550750733,0.231315308,0.550750733,0.231315308,0.550750733,0.231315308,0.550750733,0.231315308
0.511187621,0.214698801,0.511187621,0.214698801,0.511187621,0.214698801,0.511187621,0.214698801,0.511187621,0.214698801,0.511187621,0.214698801,0.511187621,0.214698801,0.511187621,0.214698801
0.463747691,0.19477403,0.463747691,0.19477403,0.463747691,0.19477403,0.463747691,0.19477403,0.463747691,0.19477403,0.463747691,0.19477403,0.463747691,0.19477403,0.463747691,0.19477403
0.432240417,0.181540975,0.432240417,0.181540975,0.432240417,0.181540975,0.432240417,0.181540975,0.432240417,0.181540975,0.432240417,0.181540975,0.432240417,0.181540975,0.432240417,0.181540975
0.412906408,0.173420691,0.412906408,0.173420691,0.412906408,0.173420691,0.412906408,0.173420691,0.412906408,0.173420691,0.412906408,0.173420691,0.412906408,0.173420691,0.412906408,0.173420691
0.403597441,0.169510925,0.403597441,0.169510925,0.403597441,0.169510925,0.403597441,0.169510925,0.403597441,0.169510925,0.403597441,0.169510925,0.403597441,0.169510925,0.403597441,0.169510925
0.400017069,0.168007169,0.400017069,0.168007169,0.400017069,0.168007169,0.400017069,0.168007169,0.400017069,0.168007169,0.400017069,0.168007169,0.400017069,0.168007169,0.400017069,0.168007169
0.406372229,0.170676336,0.406372229,0.170676336,0.406372229,0.170676336,0.406372229,0.170676336,0.406372229,0.170676336,0.406372229,0.170676336,0.406372229,0.170676336,0.406372229,0.170676336
0.44208644,0.185676305,0.44208644,0.185676305,0.44208644,0.185676305,0.44208644,0.185676305,0.44208644,0.185676305,0.44208644,0.185676305,0.44208644,0.185676305,0.44208644,0.185676305
0.504384914,0.211841664,0.504384914,0.211841664,0.504384914,0.211841664,0.504384914,0.211841664,0.504384914,0.211841664,0.504384914,0.211841664,0.504384914,0.211841664,0.504384914,0.211841664
